model,ticker,scaler,sentiment,run,accuracy,f1_score,train_loss,val_loss,class_distribution,lag,pred_probs,technical_indicators,xgb_max_depth,xgb_min_child_weight,xgb_gamma,learning_rate,n_estimators,profit
XGBoost,TSLA,standard,False,1,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,2,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,3,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,4,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,5,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,6,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,7,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,8,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,9,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,10,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,11,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,12,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,13,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,14,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,15,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,16,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,17,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,18,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,19,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,20,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,21,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,22,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,23,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,24,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,25,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,26,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,27,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,28,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,29,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,30,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,31,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,32,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,33,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,34,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,35,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,36,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,37,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,38,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
XGBoost,TSLA,standard,False,39,0.6046511627906976,0.6666666666666666,,,"{np.int64(0): np.int64(14), np.int64(1): np.int64(29)}",10,,True,5,3,0.2,0.05,150,1417.1584472656232
